"Address","lon","lat","nr_5km","dist_1","area_voronoi","eventDate"
"72-74 Clinton Street, Goulburn NSW 2580",149.7135261,-34.7572892,17,52.6520891335814,222980.043881796,"2016-6-1"
"280-286 Canley Vale Rd, Canley Heights NSW 2166",150.9241242,-33.8838593,56,416.712391161159,1371234.81451952,"2016-6-1"
"1370-1380 Camden Valley Hwy, Leppington NSW 2179",150.818266,-33.963319,9,425.062247270252,8074487.33848047,"2016-6-1"
"157 Orlando St, Coffs Harbour NSW 2450",153.1307995,-30.2896906,9,683.283927761012,1489345.95080504,"2016-6-1"
"Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745",150.668863,-33.789914,11,1670.6227086835,11836574.4312243,"2016-6-1"
"1618 Canterbury Road (Cnr Gow Street), Punchbowl NSW 2196",151.039866,-33.9342587,59,165.474446304499,1335796.69164163,"2016-6-1"
"625 Pittwater Road, Dee Why NSW 2099",151.282715,-33.7557896,21,881.510183223125,1677562.296972,"2016-6-1"
"163 The Boulevarde (Cnr Pery St), Fairfield Heights NSW 2165",150.9378262,-33.866546,55,619.392423673417,1222725.33567536,"2016-6-1"
"262 Byron Street, Inverell NSW 2360",151.1180885,-29.7688118,9,323.120307639817,441536.373967648,"2016-6-1"
"283 Manns Rd Cnr Merinee Rd, Gosford West NSW 2250",151.3251074,-33.4167192,10,1175.84914612627,13047339.893706,"2016-6-1"
"1/155 Prospect Highway, Seven Hills NSW 2147",150.9425493,-33.7692902,40,32.3162746234486,78495.2376075387,"2016-6-1"
"1/158 Auburn Rd, Birrong NSW 2143",151.0215165,-33.897395,56,1186.84760386982,1988393.42321603,"2016-6-1"
"126-128 Old Bathurst Road & Corner Russell Street, Emu Plains NSW 2750",150.6547009,-33.7429882,16,115.893770719461,8684811.29362617,"2016-6-1"
"234 Hamilton Road, Fairfield West NSW 2165",150.9372457,-33.8721091,55,619.392423673417,1128972.42755312,"2016-6-1"
"3 Metella Road & Corner Cornelia Road, Toongabbie NSW 2146",150.9464182,-33.7868908,42,1178.43765664599,2133653.28842376,"2016-6-1"
"217 Wentworth Avenue (Corner Bungaree Road), Pendle Hill NSW 2145",150.9578445,-33.8018388,43,248.324574211342,1566612.36781263,"2016-6-1"
"151 Prospect Hwy & Corner Station Road, Seven Hills NSW 2147",150.9427322,-33.7690421,39,32.3162746234486,319465.809548408,"2016-6-1"
"49-51 Great Western Highway, Emu Plains NSW 2750",150.6762172,-33.7465302,20,1525.18196583113,5167523.41429955,"2016-6-1"
"2 Alison Rd, Randwick NSW 2031",151.2319938,-33.9065628,48,261.251953750658,1316948.66943169,"2016-6-1"
"73-75 Dawson St, Lismore NSW 2480",153.2809598,-28.8089415,20,97.4046682999488,174010.583596408,"2016-6-1"
"161 Maybe Street, Bombala NSW 2632",149.237458,-36.9124026,2,493.736732278234,1033060837.06745,"2016-6-1"
"Docker St Cnr Edward St, Wagga Wagga NSW 2650",147.3567697,-35.1155881,20,43.8104113978199,213193.105164841,"2016-6-1"
"487 Princes Hwy, Kirrawee NSW 2232",151.0808877,-34.029236,20,263.20918049332,536844.964263678,"2016-6-1"
"57 Winnima Way, Berkeley NSW 2056",150.8462221,-34.4801808,17,725.902411745221,8747437.92562693,"2016-6-1"
"12 Verner Street, Goulburn NSW 2580",149.7176653,-34.7582597,17,344.897180194985,3205094.12223551,"2016-6-1"
"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",150.9231685,-33.7818566,40,429.320038781016,1571385.64668202,"2016-6-1"
"Corner Richmond Road & Dublin Street, Plumpton NSW 2761",145.0065616,-37.8194848,1,8097.36465686332,NA,"2016-6-1"
"54 - 56 Windsor Road, Kellyville NSW 2155",150.9569658,-33.7122416,11,193.176040634782,1638780.03211617,"2016-6-1"
"255 -257 Old Northern Road, Castle Hill NSW 2154",151.0035815,-33.734803,17,3027.81937131601,15009155.0354289,"2016-6-1"
"400 Luxford Road, Lethbridge Park NSW 2770",150.7983694,-33.7368018,18,1034.34681517791,7936937.01606059,"2016-6-1"
"240 Prospect Highway, Seven Hills NSW 2147",150.9332713,-33.7762584,39,1087.90055801578,1735691.95465893,"2016-6-1"
"132 Old Bathurst Road, Emu Plains NSW 2750",150.6559515,-33.7429741,16,115.893770719461,6056568.03818077,"2016-6-1"
"756 Pittwater Rd (Cnr West St), Brookvale NSW 2100",151.2762736,-33.7616389,20,162.459117180032,281522.272476554,"2016-6-1"
"283 Great Western Hwy (Cnr Russell St), Emu Plains NSW 2750",150.6530651,-33.7537447,18,563.905708281726,4416268.27455807,"2016-6-1"
"303 Tweed Valley Way, South Murwillumbah NSW 2484",153.4017918,-28.330914,8,747.124854011301,19846699.5526218,"2016-6-1"
"156 Pacific Highway, Watanobbi NSW 2259",151.429255,-33.2743601,15,922.841424585744,3980992.04004049,"2016-6-1"
"30 Henry Street, Penrith NSW 2750",150.7045931,-33.7541623,21,750.214240361144,1811792.89943659,"2016-6-1"
"300 Sandgate Road, Shortland NSW 2307",151.6955022,-32.8861683,26,144.117600906867,3969327.7114469,"2016-6-1"
"393 Hillsborough Road (Corner Macquarie Road), Warners Bay NSW 2282",151.6543842,-32.9659076,26,1119.60036387689,NA,"2016-6-1"
"603-611 Anzac Pde Cnr Snape St, Kingsford NSW 2032",151.237114,-33.934352,37,1030.2721204012,NA,"2016-6-1"
"86-98 Princes Hwy Cnr Central Rd, Unanderra NSW 2526",150.8451819,-34.4541917,19,43.4755627041816,8511181.58760834,"2016-6-1"
"139-141 Otho St Cnr Glen Innes Rd, Inverell NSW 2360",151.1145699,-29.7781942,9,99.187726061917,9300799.34492218,"2016-6-1"
"127 Loftus Ave, Loftus NSW 2232",151.0507778,-34.0456337,13,1828.26027735031,19281697.110817,"2016-6-1"
"99 Tweed Coast Rd, Hastings Point NSW 2489",153.5725599,-28.3692437,2,1467.00112933415,47138054.6735831,"2016-6-1"
"289 Cessnock Road, Abermain NSW 2326",151.4260359,-32.8112882,7,1672.83466280266,34961382.6132257,"2016-6-1"
"34 Wharf St (Cnr Frances St), Tweed Heads NSW 2485",153.5432378,-28.1732793,7,113.130911726291,NA,"2016-6-1"
"397 Pacific Highway, Belmont NSW 2280",151.6611819,-33.0327604,8,55.3820597520371,3464229.09135199,"2016-6-1"
"71 Minjungbal Dr, Tweed Heads South NSW 2486",153.542089,-28.1946654,9,236.853718357928,NA,"2016-6-1"
"41 - 43 Third Avenue, Blacktown NSW 2148",150.9079574,-33.7649347,37,524.220380512711,1531358.39582604,"2016-6-1"
"44 Foster St, Lake Cargelligo NSW 2672",146.3700727,-33.299256,3,198.047956726917,2245562082.83781,"2016-6-1"
"27 Woodville Rd, Granville NSW 2142",151.0040802,-33.8309899,50,650.893770217223,1103560.67776054,"2016-6-1"
"2-4 Marsh St, Armidale NSW 2350",151.6726612,-30.5032837,12,1034.90262577541,768789208.262291,"2016-6-1"
"142 Marsh St Cnr Barney St, Armidale NSW 2350",151.6676611,-30.5168864,12,479.392546332923,765478724.815498,"2016-6-1"
"New England Highway, Armidale NSW 2350",151.6391224,-30.5043366,12,813.022576047125,441071341.494312,"2016-6-1"
"238 Cumberland Rd, Auburn NSW 2144",151.023111,-33.8641186,59,942.344121377483,2055189.74558134,"2016-6-1"
"7-9 Newbridge Road, Chipping Norton NSW 2170",150.9772006,-33.9283919,41,1220.72243679546,4080083.31590065,"2016-6-1"
"940 Pittwater Road & Hawkesbury Avenue, Dee Why NSW 2099",151.2901723,-33.7491481,23,422.210357290696,837513.561993361,"2016-6-1"
"88 - 92 Clinton Street, Goulburn NSW 2580",149.7122908,-34.7565393,17,119.835735524042,125048.788493127,"2016-6-1"
"39-41 Port Stephens Rd (Cnr Bourke St), Raymond Terrace NSW 2324",151.7441304,-32.7611857,7,478.156595566649,52868424.104096,"2016-6-1"
"145 - 147 Hoskins Street, Temora NSW 2666",147.5337162,-34.4457095,5,284.268967762181,897284.290204138,"2016-6-1"
"186 Pacific Highway, Tuggerah NSW 2259",151.4223958,-33.2941545,15,124.068369257268,2787928.08488917,"2016-6-1"
"24-26 Gavenlock Road, Tuggerah NSW 2259",151.4148602,-33.3091958,12,597.988191465475,13852380.6833848,"2016-6-1"
"693 Old Princes Highway (Retank Reopens 23 Jun'16), Sutherland NSW 2232",151.0589016,-34.0297891,15,134.869902703805,1248651.47223091,"2016-6-1"
"53 Durham St, Bathurst NSW 2795",149.5848871,-33.4168435,12,63.5436226983158,1400847.08083487,"2016-6-1"
"91-93 Elsham Ave Leewood Estate, Orange NSW 2800",149.101051,-33.285294,15,411.723073446127,420048.910756886,"2016-6-1"
