"Address","Address_geo","lon","lat"
"72-74 Clinton Street, Goulburn NSW 2580","72-74 Clinton Street, Goulburn NSW 2580 Australia",149.7135261,-34.7572892
"280-286 Canley Vale Rd, Canley Heights NSW 2166","280-286 Canley Vale Rd, Canley Heights NSW 2166 Australia",150.9241242,-33.8838593
"1370-1380 Camden Valley Hwy, Leppington NSW 2179","1370-1380 Camden Valley Hwy, Leppington NSW 2179 Australia",150.818266,-33.963319
"157 Orlando St, Coffs Harbour NSW 2450","157 Orlando St, Coffs Harbour NSW 2450 Australia",153.1307995,-30.2896906
"Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745","Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745 Australia",150.668863,-33.789914
"1618 Canterbury Road (Cnr Gow Street), Punchbowl NSW 2196","1618 Canterbury Road , Punchbowl NSW 2196 Australia",151.039866,-33.9342587
"625 Pittwater Road, Dee Why NSW 2099","625 Pittwater Road, Dee Why NSW 2099 Australia",151.282715,-33.7557896
"163 The Boulevarde (Cnr Pery St), Fairfield Heights NSW 2165","163 The Boulevarde , Fairfield Heights NSW 2165 Australia",150.9378262,-33.866546
"262 Byron Street, Inverell NSW 2360","262 Byron Street, Inverell NSW 2360 Australia",151.1180885,-29.7688118
"283 Manns Rd Cnr Merinee Rd, Gosford West NSW 2250","283 Manns Rd  Gosford West NSW 2250 Australia",151.3251074,-33.4167192
"1/155 Prospect Highway, Seven Hills NSW 2147","1/155 Prospect Highway, Seven Hills NSW 2147 Australia",150.9425493,-33.7692902
"1/158 Auburn Rd, Birrong NSW 2143","1/158 Auburn Rd, Birrong NSW 2143 Australia",151.0215165,-33.897395
"126-128 Old Bathurst Road & Corner Russell Street, Emu Plains NSW 2750","126-128 Old Bathurst Road & Corner Russell Street, Emu Plains NSW 2750 Australia",150.6547009,-33.7429882
"234 Hamilton Road, Fairfield West NSW 2165","234 Hamilton Road, Fairfield West NSW 2165 Australia",150.9372457,-33.8721091
"3 Metella Road & Corner Cornelia Road, Toongabbie NSW 2146","3 Metella Road & Corner Cornelia Road, Toongabbie NSW 2146 Australia",150.9464182,-33.7868908
"217 Wentworth Avenue (Corner Bungaree Road), Pendle Hill NSW 2145","217 Wentworth Avenue , Pendle Hill NSW 2145 Australia",150.9578445,-33.8018388
"151 Prospect Hwy & Corner Station Road, Seven Hills NSW 2147","151 Prospect Hwy & Corner Station Road, Seven Hills NSW 2147 Australia",150.9427322,-33.7690421
"49-51 Great Western Highway, Emu Plains NSW 2750","49-51 Great Western Highway, Emu Plains NSW 2750 Australia",150.6762172,-33.7465302
"2 Alison Rd, Randwick NSW 2031","2 Alison Rd, Randwick NSW 2031 Australia",151.2319938,-33.9065628
"73-75 Dawson St, Lismore NSW 2480","73-75 Dawson St, Lismore NSW 2480 Australia",153.2809598,-28.8089415
"161 Maybe Street, Bombala NSW 2632","161 Maybe Street, Bombala NSW 2632 Australia",149.237458,-36.9124026
"Docker St Cnr Edward St, Wagga Wagga NSW 2650","Docker St  Wagga Wagga NSW 2650 Australia",147.3567697,-35.1155881
"487 Princes Hwy, Kirrawee NSW 2232","487 Princes Hwy, Kirrawee NSW 2232 Australia",151.0808877,-34.029236
"57 Winnima Way, Berkeley NSW 2056","57 Winnima Way, Berkeley NSW 2056 Australia",150.8462221,-34.4801808
"12 Verner Street, Goulburn NSW 2580","12 Verner Street, Goulburn NSW 2580 Australia",149.7176653,-34.7582597
"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148","56 Leabons Lane , Blacktown East NSW 2148 Australia",150.9231685,-33.7818566
"Corner Richmond Road & Dublin Street, Plumpton NSW 2761","Corner Richmond Road & Dublin Street, Plumpton NSW 2761 Australia",145.0065616,-37.8194848
"54 - 56 Windsor Road, Kellyville NSW 2155","54 - 56 Windsor Road, Kellyville NSW 2155 Australia",150.9569658,-33.7122416
"255 -257 Old Northern Road, Castle Hill NSW 2154","255 -257 Old Northern Road, Castle Hill NSW 2154 Australia",151.0035815,-33.734803
"400 Luxford Road, Lethbridge Park NSW 2770","400 Luxford Road, Lethbridge Park NSW 2770 Australia",150.7983694,-33.7368018
"240 Prospect Highway, Seven Hills NSW 2147","240 Prospect Highway, Seven Hills NSW 2147 Australia",150.9332713,-33.7762584
"132 Old Bathurst Road, Emu Plains NSW 2750","132 Old Bathurst Road, Emu Plains NSW 2750 Australia",150.6559515,-33.7429741
"756 Pittwater Rd (Cnr West St), Brookvale NSW 2100","756 Pittwater Rd , Brookvale NSW 2100 Australia",151.2762736,-33.7616389
"283 Great Western Hwy (Cnr Russell St), Emu Plains NSW 2750","283 Great Western Hwy , Emu Plains NSW 2750 Australia",150.6530651,-33.7537447
"303 Tweed Valley Way, South Murwillumbah NSW 2484","303 Tweed Valley Way, South Murwillumbah NSW 2484 Australia",153.4017918,-28.330914
"156 Pacific Highway, Watanobbi NSW 2259","156 Pacific Highway, Watanobbi NSW 2259 Australia",151.429255,-33.2743601
"30 Henry Street, Penrith NSW 2750","30 Henry Street, Penrith NSW 2750 Australia",150.7045931,-33.7541623
"300 Sandgate Road, Shortland NSW 2307","300 Sandgate Road, Shortland NSW 2307 Australia",151.6955022,-32.8861683
"393 Hillsborough Road (Corner Macquarie Road), Warners Bay NSW 2282","393 Hillsborough Road , Warners Bay NSW 2282 Australia",151.6543842,-32.9659076
"603-611 Anzac Pde Cnr Snape St, Kingsford NSW 2032","603-611 Anzac Pde  Kingsford NSW 2032 Australia",151.237114,-33.934352
"86-98 Princes Hwy Cnr Central Rd, Unanderra NSW 2526","86-98 Princes Hwy  Unanderra NSW 2526 Australia",150.8451819,-34.4541917
"139-141 Otho St Cnr Glen Innes Rd, Inverell NSW 2360","139-141 Otho St  Inverell NSW 2360 Australia",151.1145699,-29.7781942
"127 Loftus Ave, Loftus NSW 2232","127 Loftus Ave, Loftus NSW 2232 Australia",151.0507778,-34.0456337
"99 Tweed Coast Rd, Hastings Point NSW 2489","99 Tweed Coast Rd, Hastings Point NSW 2489 Australia",153.5725599,-28.3692437
