"Address","lat","lon","remoteness","dist_to_coast"
"261-265 Princes Highway, Bulli NSW 2516",-34.335641,150.9132751,0.11,0.01
"81 Barton St, Kogarah NSW 2217",-33.9737945,151.1460919,0,0.01
"68 Jindabyne Rd, Berridale NSW 2628",-36.3653974,148.8270154,2.3565304,1.199708
"1 Richmond St, LAWRENCE NSW 2460",-29.4994685,153.1004759,2.42,0.2404163
"321 Gardeners Rd, Rosebery NSW 2018",-33.9229812,151.2060166,0,0.03162277
"57 Pangee Street, Nyngan NSW 2825",-31.5614859,147.1928595,6.4717135,4.525881
"331 Princes Hwy, Milton NSW 2538",-35.3311518,150.4487194,1.32,0.03
"1 Warners Bay Road, Warners Bay NSW 2280",-32.9817641,151.6463889,0,0.06403124
"2 Rawson Road, GRANVILLE NSW 2142",-33.8636347,151.0088363,0,0.1749285
"Merrylands Road & Braeside St, Greystanes NSW 2145",-33.8315303,150.9663485,0,0.224722
"166 John St Cnr Gladstone St, Cabramatta NSW 2166",-33.894009,150.9285354,0,0.2282542
"61 Brown Road, Bonnyrigg NSW 2177",-33.896933,150.8838647,0,0.2640076
"92 Mulgoa Road & Batt Street, Jamisontown NSW 2750",-33.7665561,150.6795954,0,0.51
"740 Hume Highway, Yagoona NSW 2199",-33.9048797,151.0114633,0,0.1486607
"61 Railway Ave, BUNDANOON NSW 2578",-34.6553958,150.3039796,1.04,0.4810405
"Benandarah Fuel, Benandarah NSW 2536",-35.6477752,150.238992,2.0180874,0.06
"159 Imlay St, Eden NSW 2551",-37.063241,149.9044021,4.95,0.01
"928 Hume Highway, Bass Hill NSW 2197",-33.8979336,150.994432,0,0.1702939
"560-562 Victoria Rd Cnr Lawson St, Ermington NSW 2115",-33.8139726,151.0547996,0,0.1720465
"76 Narromine St, TRANGIE NSW 2823",-32.0325769,147.9859013,4.672959,3.610235
"100 Cambelltown Road, Minto NSW 2566",-34.0238053,150.8352155,0,0.2545584
"2-6 Johns St, Coonabarabran NSW 2357",-31.2770547,149.2783747,4.51,2.978003
"1412-1414 Pittwater Road, North Narrabeen NSW 2101",-33.7009119,151.2996886,0,0.01
"130 Cormorant Rd (Po Box 222), Kooragang NSW 2304",-32.8825364,151.7634837,0.18921675,0.03
"94 Rouse Street, Tenterfield NSW 2372",-29.0624105,152.0172061,3.47,1.348073
"252 Princes Highway, Albion Park NSW 2527",-34.5676634,150.8022336,0.11,0.07
"712 Pennant Hills Road, Carlingford NSW 2118",-33.7635765,151.0474278,0,0.219545
"184 Smith Street, South Penrith NSW 2750",-33.7672568,150.7025478,0,0.4837354
"50 Sydney Street, Muswellbrook NSW 2333",-32.2686268,150.8867393,1.4119883,1.101136
"972 Hume Highway, Bass Hill NSW 2197",-33.8961497,150.9912877,0,0.1702939
"190-198 Princess Hwy, South Nowra NSW 2541",-34.9155072,150.6053426,0.5067605,0.1280625
"1-3 Sydney Ave (Cnr Ocean Beach Rd), Umina NSW 2257",-33.5210728,151.3164207,0.1,0
"24 Murray Road, Wingham NSW 2429",-31.8686294,152.3620526,1.78,0.2385372
"132/138 Pacific Hwy, Charlestown NSW 2290",-32.9649426,151.6951705,0,0.04
"100 Woolooware Rd, Woolooware NSW 2230",-34.052747,151.1408431,0,0.01
"1, Main Street, Young NSW 2594",-34.3082429,148.296578,2.1586475,2.36603
"281 Homer St, EARLWOOD NSW 2206",-33.9263842,151.1276886,0,0.04242641
"353-355 Edward St, Wagga Wagga NSW 2650",-35.1158207,147.3515167,1.03,2.832402
"62-68 Clinton Street, Goulburn NSW 2580",-34.7572564,149.7140998,0.59,0.9323089
"Pacific Highway, Coolongolook NSW 2423",-32.2156259,152.3227334,3.2025576,0.1868154
"297-299 Bunnerong Road, Pagewood NSW 2035",-33.9407211,151.228436,0,0.02828427
"85 Loder St, Quirindi NSW 2343",-31.5167881,150.6749262,2.48,1.742297
"3 Bugden Avenue, Alstonville NSW 2477",-28.8381032,153.438853,0.76154196,0.1345362
"36 Wilson St, Collarenebri NSW 2833",-29.5440452,148.5763166,9.227013,4.553427
