"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","Data Resource ID","Remoteness index","Distance - to coast","Occurrence status assumed to be present","Country inferred from coordinates","First of the month","Geodetic datum assumed WGS84","Name not recognised"
"013a60f3-0119-4e27-b2b1-69ad9a12e3ed","","","","","","","","","","","","","","","","","","2510 Silverdale Road, Wallacia NSW 2745","-33.8748179","150.6184097","","-33.8748179","150.6184097","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.4053062","0.5162364","true","true","true","true","true"
"01cbcd32-b071-4b2e-a778-e43dd5b73c14","","","","","","","","","","","","","","","","","","112-118 Caswell St, Peak Hill NSW 2869","-32.7265526","148.1914795","","-32.7265526","148.1914795","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","3.1884847","3.159272","true","true","true","true","true"
"01d3bd8d-75ef-4320-b52f-5979174ba147","","","","","","","","","","","","","","","","","","51 Lambton Road, Waratah NSW 2298","-32.9068911","151.7194346","","-32.9068911","151.7194346","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.05656854","true","true","true","true","true"
"01d8f33c-9056-4589-8e2f-7b94bd6c54ed","","","","","","","","","","","","","","","","","","1 Bay Street, Port Macquarie NSW 2444","-31.4270481","152.8953403","","-31.4270481","152.8953403","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","1.62","0.02236068","true","true","true","true","true"
"01f0dbbc-3a8a-4bca-a14b-a76c624fe7a4","","","","","","","","","","","","","","","","","","99 Jericho Road, Moorland NSW 2443","-31.7943785","152.6514819","","-31.7943785","152.6514819","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","2.3719804","0.08062258","true","true","true","true","true"
"0221b0d8-e259-4241-b22d-e309b6f609d5","","","","","","","","","","","","","","","","","","438 Crown St, West Wollongong NSW 2500","-34.4250438","150.872928","","-34.4250438","150.872928","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.11","0.03","true","true","true","true","true"
"02a01967-33f5-48c6-8273-a30e317e8bae","","","","","","","","","","","","","","","","","","603-611 Anzac Pde Cnr Snape St, Kingsford NSW 2032","-33.934352","151.237114","","-33.934352","151.237114","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.03","true","true","true","true","true"
"02b6b864-34aa-4543-bd02-216034b014f2","","","","","","","","","","","","","","","","","","269 Stewart Street, Bathurst NSW 2795","-33.4181477","149.5681035","","-33.4181477","149.5681035","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.79","1.630828","true","true","true","true","true"
"02fb44b5-1333-462d-9e2e-93ae4004af87","","","","","","","","","","","","","","","","","","103 Smith ST, Kempsey NSW 2440","-31.0753687","152.8444126","","-31.0753687","152.8444126","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","2.237895","0.1565247","true","true","true","true","true"
"030ac797-59c9-45fd-8bda-25e6eaff095a","","","","","","","","","","","","","","","","","","73-81 Marrickville Road, Marrickville NSW 2204","-33.9131635","151.1620938","","-33.9131635","151.1620938","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.04","true","true","true","true","true"
"03654492-5034-4d4c-a9be-0de3822d4bef","","","","","","","","","","","","","","","","","","1542 Federal Highway Service Road, Sutton NSW 2620","-35.184608","149.2314356","","-35.184608","149.2314356","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.41336682","1.096586","true","true","true","true","true"
"0365afff-78bd-4e09-9673-8ea4370702e5","","","","","","","","","","","","","","","","","","86 Pittwater Rd, Manly NSW 2095","-33.7930688","151.285802","","-33.7930688","151.285802","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","","0.01","true","true","true","true","true"
"038129ab-0196-4ddd-b14f-a356d3fef65b","","","","","","","","","","","","","","","","","","3 Railway Ave, Gunnedah NSW 2380","-30.9770675","150.2438264","","-30.9770675","150.2438264","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","2.42","2.425469","true","true","true","true","true"
"038a63da-fc2f-4e2c-89ed-e154acc6d31d","","","","","","","","","","","","","","","","","","90 Bathurst Road, Orange NSW 2800","-33.2917595","149.1106163","","-33.2917595","149.1106163","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","1.17","2.077619","true","true","true","true","true"
"03d5b2ae-e1e7-4986-805b-4fdc85982b4c","","","","","","","","","","","","","","","","","","81 Aberdare Rd, ABERDARE NSW 2325","-32.8437052","151.3744109","","-32.8437052","151.3744109","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.343144","0.3560899","true","true","true","true","true"
"04127be5-59a0-4bf0-822e-6f5621c9d22c","","","","","","","","","","","","","","","","","","5 Manilla Rd, ATTUNGA NSW 2345","-30.9289611","150.8456856","","-30.9289611","150.8456856","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","2.5763075","2.024846","true","true","true","true","true"
"0424dab8-c3ab-47d6-bd8d-1f9e2b612154","","","","","","","","","","","","","","","","","","22 Station St, Gulgong NSW 2852","-32.3573437","149.5351528","","-32.3573437","149.5351528","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","2.7540667","2.102974","true","true","true","true","true"
"044409c2-85d6-4969-bc6e-18d5ee176634","","","","","","","","","","","","","","","","","","269-275 Princes Highway, Corrimal NSW 2518","-34.3751906","150.8963512","","-34.3751906","150.8963512","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.11","0.02","true","true","true","true","true"
"044c718f-2145-4256-b304-a589c1b95e5f","","","","","","","","","","","","","","","","","","Corner Cox And Main Street, JUNEE NSW 2663","-34.8675057","147.58474","","-34.8675057","147.58474","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","1.83","2.744923","true","true","true","true","true"
"04aae908-d86c-433d-8f92-f051cfa8aa12","","","","","","","","","","","","","","","","","","2399 Princes Highway, Bewong NSW 2540","-35.0858745","150.5332276","","-35.0858745","150.5332276","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","1.067024","0.1081665","true","true","true","true","true"
