POA,resident_population,seifa_score
2278,2676,981.2739753
2280,26615,997.9780786
2281,13403,960.0770491
2282,14451,1050.041029
2283,23087,965.2038292
2284,10450,942.3142319
2285,27815,989.7160307
2286,3443,933.9007223
2287,33260,987.3511333
2289,18825,1041.944375
2290,32159,1000.088298
2291,13413,1074.506424
2292,2434,972.3738955
2293,2126,1004.108907
2294,1879,953.4034952
2295,5818,939.0047251
2296,1807,968.9695012
2297,1620,965.7398284
2298,9443,947.0967502
2299,10686,964.3657337
2300,10097,1052.922439
2302,590,994.9244368
2303,9015,975.9981369
2304,14987,943.7024297
2305,11926,1037.928012
2306,3100,688.7344861
2307,3708,930.0922217
2311,838,971.612107
2312,1515,920.8201585
2315,13356,986.5902812
2316,5517,983.0718575
2317,6174,974.4289064
2318,11403,1024.530543
2319,6310,933.134404
2320,29285,996.970626
2321,10912,1020.084516
2322,16653,954.8840745
2323,24737,980.2701979
2324,22531,928.9806921
2325,26205,914.558254
2326,7165,887.1647567
2327,7366,874.820169
2328,2544,970.6796133
2329,2141,934.8467454
2330,20494,1001.166504
2333,13245,956.5602565
2334,2479,940.8746434
2335,5422,1015.232915
2336,2337,957.4088703
2337,7752,984.7652249
2338,1539,937.6882357
2339,666,949.2128396
2340,45740,953.701838
2341,1736,845.379895
2342,558,1015.83097
2343,4531,925.7992449
2344,736,1037.350113
2345,766,977.8259808
2346,2816,868.2510359
2347,1879,894.6318323
2350,24494,988.5723117
2352,2809,947.8350513
2353,993,965.2878859
2354,3527,969.2391138
2355,766,951.0394592
2357,4359,921.5227048
2358,4047,962.6285584
2359,601,885.5842144
2360,14493,917.0415598
2361,881,837.2535344
2365,3411,959.0690385
2369,1166,822.1607271
2370,7564,912.4637209
2371,742,887.2035075
2372,4968,922.1882464
2380,10152,936.1911751
2381,1745,933.3570321
2382,1191,888.4177705
2386,301,981.830123
2388,3091,924.2623879
2390,8254,950.4905979
2395,779,823.4212809
2396,1168,886.7915729
2397,408,1009.301427
2399,875,973.2196159
2400,10204,924.867599
2401,323,961.2164335
2402,1917,924.3969007
2403,555,903.0993404
2404,1784,905.9602346
2405,549,1006.8158
2406,742,937.5152277
2408,421,1022.766243
2409,1140,757.3949406
2410,350,923.3728475
2415,281,944.936359
2420,4067,951.1614175
2421,1520,1039.151802
2422,5211,935.4232673
2423,3234,907.1904792
2424,552,887.8838431
2425,1616,943.3483175
2426,519,888.6937259
2427,2478,882.2071358
2428,22698,912.1052561
2429,9241,913.1868304
2430,32584,907.0130194
2431,4953,921.4964082
2439,2451,957.3597294
2440,21370,863.303844
2441,6292,956.5865749
2443,8848,900.1798086
2444,42636,965.3274671
2445,5869,995.0267385
2446,12519,944.5185809
2447,6793,908.3075244
2448,8713,885.785765
2449,2328,856.7964383
2450,38289,954.5365323
2452,15019,927.7659097
2453,2701,936.1911802
2454,7367,955.3389126
2455,3018,909.708536
2456,13596,947.8979868
2460,28571,900.0887877
2462,2510,884.0546403
2463,7158,926.8209566
2464,6692,937.9025855
2465,355,924.8852818
2466,1699,852.0888411
